Model,N,Class,Result
MobileNetV2,1,Total,0.145789474
MobileNetV2,1,0,0.110526316
MobileNetV2,1,1,0.1
MobileNetV2,1,2,0.047368421
MobileNetV2,1,3,0.136842105
MobileNetV2,1,4,0.3
MobileNetV2,1,5,0.405263158
MobileNetV2,1,6,0.284210526
MobileNetV2,1,7,0.236842105
MobileNetV2,1,8,0.136842105
MobileNetV2,1,9,0.026315789
MobileNetV2,1,10,0.152631579
MobileNetV2,1,11,0.042105263
MobileNetV2,1,12,0.068421053
MobileNetV2,1,13,0
MobileNetV2,1,14,0.163157895
MobileNetV2,1,15,0.063157895
MobileNetV2,1,16,0.110526316
MobileNetV2,1,17,0.121052632
MobileNetV2,1,18,0.242105263
MobileNetV2,1,19,0.263157895
MobileNetV2,1,20,0.110526316
MobileNetV2,1,21,0.078947368
MobileNetV2,1,22,0.384210526
MobileNetV2,1,23,0.036842105
MobileNetV2,1,24,0.215789474
MobileNetV2,1,25,0.036842105
MobileNetV2,1,26,0.010526316
MobileNetV2,1,27,0.073684211
MobileNetV2,1,28,0.342105263
MobileNetV2,1,29,0.073684211
InceptionResnetV2,1,Total,0.246666667
InceptionResnetV2,1,0,0.131578947
InceptionResnetV2,1,1,0.231578947
InceptionResnetV2,1,2,0.131578947
InceptionResnetV2,1,3,0.257894737
InceptionResnetV2,1,4,0.189473684
InceptionResnetV2,1,5,0.563157895
InceptionResnetV2,1,6,0.410526316
InceptionResnetV2,1,7,0.4
InceptionResnetV2,1,8,0.315789474
InceptionResnetV2,1,9,0.042105263
InceptionResnetV2,1,10,0.2
InceptionResnetV2,1,11,0.126315789
InceptionResnetV2,1,12,0.157894737
InceptionResnetV2,1,13,0.163157895
InceptionResnetV2,1,14,0.178947368
InceptionResnetV2,1,15,0.105263158
InceptionResnetV2,1,16,0.2
InceptionResnetV2,1,17,0.347368421
InceptionResnetV2,1,18,0.226315789
InceptionResnetV2,1,19,0.026315789
InceptionResnetV2,1,20,0.089473684
InceptionResnetV2,1,21,0.363157895
InceptionResnetV2,1,22,0.405263158
InceptionResnetV2,1,23,0.263157895
InceptionResnetV2,1,24,0.336842105
InceptionResnetV2,1,25,0.115789474
InceptionResnetV2,1,26,0.273684211
InceptionResnetV2,1,27,0.131578947
InceptionResnetV2,1,28,0.568421053
InceptionResnetV2,1,29,0.447368421
ResneXt50,1,Total,0.116666667
ResneXt50,1,0,0.036842105
ResneXt50,1,1,0.2
ResneXt50,1,2,0.010526316
ResneXt50,1,3,0.189473684
ResneXt50,1,4,0.115789474
ResneXt50,1,5,0.478947368
ResneXt50,1,6,0.178947368
ResneXt50,1,7,0.078947368
ResneXt50,1,8,0.026315789
ResneXt50,1,9,0
ResneXt50,1,10,0.068421053
ResneXt50,1,11,0.036842105
ResneXt50,1,12,0.010526316
ResneXt50,1,13,0
ResneXt50,1,14,0.268421053
ResneXt50,1,15,0.005263158
ResneXt50,1,16,0.136842105
ResneXt50,1,17,0.194736842
ResneXt50,1,18,0.047368421
ResneXt50,1,19,0.005263158
ResneXt50,1,20,0.026315789
ResneXt50,1,21,0
ResneXt50,1,22,0.257894737
ResneXt50,1,23,0
ResneXt50,1,24,0.189473684
ResneXt50,1,25,0.189473684
ResneXt50,1,26,0
ResneXt50,1,27,0
ResneXt50,1,28,0.505263158
ResneXt50,1,29,0.242105263
MobileNetV2,2,Total,0.228596491
MobileNetV2,2,0,0.189473684
MobileNetV2,2,1,0.194736842
MobileNetV2,2,2,0.121052632
MobileNetV2,2,3,0.221052632
MobileNetV2,2,4,0.405263158
MobileNetV2,2,5,0.494736842
MobileNetV2,2,6,0.347368421
MobileNetV2,2,7,0.352631579
MobileNetV2,2,8,0.226315789
MobileNetV2,2,9,0.057894737
MobileNetV2,2,10,0.236842105
MobileNetV2,2,11,0.121052632
MobileNetV2,2,12,0.126315789
MobileNetV2,2,13,0.010526316
MobileNetV2,2,14,0.221052632
MobileNetV2,2,15,0.157894737
MobileNetV2,2,16,0.205263158
MobileNetV2,2,17,0.215789474
MobileNetV2,2,18,0.373684211
MobileNetV2,2,19,0.447368421
MobileNetV2,2,20,0.168421053
MobileNetV2,2,21,0.189473684
MobileNetV2,2,22,0.494736842
MobileNetV2,2,23,0.1
MobileNetV2,2,24,0.336842105
MobileNetV2,2,25,0.105263158
MobileNetV2,2,26,0.031578947
MobileNetV2,2,27,0.178947368
MobileNetV2,2,28,0.421052632
MobileNetV2,2,29,0.105263158
InceptionResnetV2,2,Total,0.367368421
InceptionResnetV2,2,0,0.215789474
InceptionResnetV2,2,1,0.378947368
InceptionResnetV2,2,2,0.231578947
InceptionResnetV2,2,3,0.326315789
InceptionResnetV2,2,4,0.342105263
InceptionResnetV2,2,5,0.668421053
InceptionResnetV2,2,6,0.526315789
InceptionResnetV2,2,7,0.505263158
InceptionResnetV2,2,8,0.468421053
InceptionResnetV2,2,9,0.121052632
InceptionResnetV2,2,10,0.268421053
InceptionResnetV2,2,11,0.278947368
InceptionResnetV2,2,12,0.315789474
InceptionResnetV2,2,13,0.326315789
InceptionResnetV2,2,14,0.305263158
InceptionResnetV2,2,15,0.257894737
InceptionResnetV2,2,16,0.342105263
InceptionResnetV2,2,17,0.505263158
InceptionResnetV2,2,18,0.336842105
InceptionResnetV2,2,19,0.073684211
InceptionResnetV2,2,20,0.189473684
InceptionResnetV2,2,21,0.468421053
InceptionResnetV2,2,22,0.526315789
InceptionResnetV2,2,23,0.442105263
InceptionResnetV2,2,24,0.473684211
