,ASIN,Dataset,new_filename,Category,Title,Remove
6,1606997912,Test,0,Comics & Graphic Novels,Hip Hop Family Tree 1975-1983 Gift Box Set,0
240,152058761,Test,1,Teen & Young Adult,Young Royals Boxed Set: The Tudor Women,1
167,399168176,Test,2,Self-Help,Keri Smith Deluxe Boxed Set,1
160,1500803898,Test,3,Arts & Photography,Mandala Coloring Book Mega Bundle Vol. 2 & 3: 100 Detailed Mandala Patterns,0
37,738611433,Test,4,Test Preparation,FTCE Exceptional Student Education K-12 Book + Online (FTCE Teacher Certification Test Prep),0
233,880707801,Test,5,Religion & Spirituality,Christmas Joy: Snowflakes/Love Wanted/Gift of Love (HeartQuest Holiday Anthology),0
224,1557787239,Test,6,Christian Books & Bibles,World Scripture: A Comparative Anthology of Sacred Texts,0
211,553508784,Test,7,Reference,Paw Patrol Phonics Box Set (PAW Patrol) (Step into Reading),1
51,147517729,Test,8,"Mystery, Thriller & Suspense",The All Souls Trilogy Boxed Set,1
31,080412454X,Test,9,Test Preparation,Reading and Writing Prep for the SAT & ACT: 2 Books in 1 (College Test Preparation),0
88,049590323X,Test,10,Humor & Entertainment,"The Wadsworth Anthology of Drama, Revised Edition",0
90,1560763418,Test,11,Humor & Entertainment,"Greyhawk Adventures: From the Ashes/Boxed Set (Advanced Dungeons & Dragons, 2nd ed)",0
40,1259585247,Test,12,Test Preparation,Official TOEFL® Test Prep Savings Bundle 2nd Edition,0
164,1878424580,Test,13,Parenting & Relationships,The Four Agreements Toltec Wisdom Collection: 3-Book Boxed Set,0
71,441533825,Test,14,Science Fiction & Fantasy,Mirrorshades: The Cyberpunk Anthology,0
227,B00IGKGS9S,Test,15,Christian Books & Bibles,The 1717 Book of Common Prayer (Reproduction Edition),1
180,9671317502,Test,16,Computers & Technology,"Web Coding Bible (18 Books in 1 -- HTML, CSS, Javascript, PHP, SQL, XML, SVG, Canvas, WebGL, Java Applet, ActionScript, htaccess, jQuery, WordPress, SEO and many more): An Accelerated Course",0
151,1514239671,Test,17,"Cookbooks, Food & Wine","Low Carb & Weight Loss Box Set 3 IN 1: 45 Amazing Low Carb & High Protein Recipes + Weight Watchers Cookbook: (Low Carb Diet Books, Low Carbohydrate ... low carb high protein diet) (Volume 4)",1
229,1556618042,Test,18,Religion & Spirituality,The Cul-de-sac Kids  Books 1-6 (Boxed Set),0
183,B00J2C5JCQ,Test,19,Science & Math,"Stink Moody 7 Books- The World's Worst Super-stinky Sneakers, Solar System Superhero, the Incredible Shrinking Kid, Midnight Zombie Walk, the Incredible Super-galactic Jawbreaker, the Ultimate Thumb-wrestling Smackdown, the Great Guinea Pig Express,",1
134,014023778X,Test,20,Literature & Fiction,Unsettling America: An Anthology of Contemporary Multicultural Poetry,0
105,486292827,Test,21,Literature & Fiction,English Romantic Poetry: An Anthology (Dover Thrift Editions),0
32,1618656449,Test,22,Test Preparation,Kaplan MCAT Complete 7-Book Subject Review: Created for MCAT 2015 (Kaplan Test Prep),1
59,812540115,Test,23,Science Fiction & Fantasy,"The Wheel of Time, Boxed Set II, Books 4-6: The Shadow Rising, The Fires of Heaven, Lord of Chaos",0
220,393933636,Test,24,Reference,"The Norton Anthology of Western Literature, Vol. 2",0
125,393954862,Test,25,Literature & Fiction,The Norton Anthology of World Masterpieces (Fifth Continental Edition),0
23,1421560739,Test,26,Comics & Graphic Novels,Bakuman. Complete Box Set (Volumes 1-20 with premium),0
69,816529825,Test,27,Science Fiction & Fantasy,Walking the Clouds: An Anthology of Indigenous Science Fiction (Sun Tracks),0
96,300099207,Test,28,Literature & Fiction,"The Literature of Ancient Egypt: An Anthology of Stories, Instructions, Stelae, Autobiographies, and Poetry; Third Edition",0
258,1421550059,Test,29,Children's Books,Pokemon Black and White Box Set,1
116,1566081513,Test,30,Literature & Fiction,More Christmas on Stage: An Anthology of Royalty-Free Christmas Plays,0
26,1606996819,Test,31,Comics & Graphic Novels,The Complete Peanuts 1987-1990 Gift Box Set (The Complete Peanuts),1
209,844259667,Train,0,Politics & Social Sciences,World Mythology: An Anthology of Great Myths and Epics,0
1,1480353345,Train,1,Calendars,Trumpets That Work 2013 & 2014 Calendar Bundle,1
228,1578191149,Train,2,Religion & Spirituality,"Sapirstein Edition Rashi: The Torah with Rashi's Commentary Translated, Annotated and Elucidated, Vols. 1-5 [Box Set, Full Size]: Genesis, Exodus, Leviticus, Numbers, Deuteronomy",1
210,73512311,Train,3,Politics & Social Sciences,"Women: Images & Realities, A Multicultural Anthology",0
10,386787770X,Train,4,Comics & Graphic Novels,Side by Side & Still Side by Side: Two Books in One! - Bundle,0
225,898696194,Train,5,Christian Books & Bibles,1979 Book of Common Prayer: Black Vivella,0
33,1118824539,Train,6,Test Preparation,GMAT Official Guide 13e Bundle,1
249,62422790,Train,7,Children's Books,"Paddington Classic Adventures Box Set: A Bear Called Paddington, More About Paddington, Paddington Helps Out",1
157,B00QMQPIZS,Train,8,"Crafts, Hobbies & Home",Gardening Box Set #3: Greenhouse Gardening for Beginners & The Ultimate Guide to Vegetable Gardening for Beginners,1
161,393921638,Train,9,Arts & Photography,The Norton Anthology of Western Music (Seventh Edition)  (Vol. 3),0
120,984213333,Train,10,Literature & Fiction,30 Under 30: An Anthology of Innovative Fiction by Younger Writers,0
139,393080072,Train,11,Literature & Fiction,The Norton Anthology of Latino Literature,0
41,465023827,Train,12,Test Preparation,"The Feynman Lectures on Physics, boxed set: The New Millennium Edition",1
186,1501060724,Train,13,"Health, Fitness & Dieting",Human Behavior: Narcissism Unleashed! + Mind Control Mastery + The Shopping Addiction & Living With OCD + The Ultimate Self Esteem Guide (Box Set) (Volume 5),1
176,3319158287,Train,14,Computers & Technology,Principal Bundles: The Quantum Case (Universitext),0
177,3319147641,Train,15,Computers & Technology,Principal Bundles: The Classical Case (Universitext),0
221,415613485,Train,16,Reference,Translation Bundle Nottingham Uni: The Translation Studies Reader,0
108,393934128,Train,17,Literature & Fiction,The Norton Anthology of Drama (Shorter Edition),0
136,1457604752,Train,18,Literature & Fiction,40 Short Stories: A Portable Anthology,0
187,B001F8JD04,Train,19,"Health, Fitness & Dieting","South Beach Diet, 1 book",0
182,590661094,Train,20,Science & Math,The Magic School Bus: Box Set,1
62,1932100563,Train,21,Science Fiction & Fantasy,The Anthology At The End Of The Universe: Leading Science Fiction Authors On Douglas Adams' The Hitchhiker's Guide To The Galaxy (Smart Pop series),0
226,819229296,Train,22,Christian Books & Bibles,The 1979 Book of Common Prayer with Additional Resources,0
135,393933652,Train,23,Literature & Fiction,"The Norton Anthology of World Literature (Third Edition)  (Vol. Package 1: Vols. A, B, C)",1
149,1939563119,Train,24,"Cookbooks, Food & Wine",Primal Blueprint Box Set: A collection of five hardcover Primal Blueprint books,1
153,1419711318,Train,25,"Crafts, Hobbies & Home",Origami Yoda Files: Boxed Set,1
128,393930149,Train,26,Literature & Fiction,The Norton Anthology of Literature by Women: The Traditions in English (Third Edition)  (Vol. 2),0
241,60734191,Train,27,Teen & Young Adult,The Abhorsen Trilogy Box Set,1
156,1507747705,Train,28,"Crafts, Hobbies & Home",The Ultimate Guide to Greenhouse Gardening for Beginners & The Ultimate Guide to Raised Bed Gardening for Beginners & The Ultimate Guide to Vegetable ... for Beginners (Gardening Box Set) (Volume 24),1
146,1514301520,Train,29,"Cookbooks, Food & Wine","Electric Pressure Cooker Cookbook Box Set: 160 Electric Pressure Cooker Recipes For Breakfast, Brunch, Appetizers, Desserts, Dinner, Soups And Stews",1
124,393321789,Train,30,Literature & Fiction,The Making of a Poem: A Norton Anthology of Poetic Forms,0
123,393979210,Train,31,Literature & Fiction,"The Norton Anthology of Poetry, Shorter Fifth Edition",0
126,393918858,Train,32,Literature & Fiction,"The Norton Anthology of American Literature, 8th Edition",0
141,1412716799,Train,33,"Cookbooks, Food & Wine",Cupcakes Recipe Card Box (Recipe Tin Boxed Sets),0
147,1511835753,Train,34,"Cookbooks, Food & Wine","Pressure Cooker Cookbook Box Set: Pressure Cooker Lunch, Dinner, Dessert And Paleo Recipes",1
188,B009DPB3KE,Train,35,"Health, Fitness & Dieting",South Beach Diet 6 Book Set : The South Beach Diet/the South Beach Diet Cookbook/the South Beach Heart Program / the South Beach Diet Super Quick Cookbook/ the South Beach Diet Dining Guide/ the South Beach Diet Good Fats Good Carbs Guide,1
245,1423125959,Train,36,Teen & Young Adult,Blue Bloods 3-Book Boxed Set,1
16,142158316X,Train,37,Comics & Graphic Novels,Claymore Complete Box Set: Volumes 1-27 with Premium,1
162,140519863X,Train,38,Arts & Photography,Photographic Theory: An Historical Anthology,0
65,1936876922,Train,39,Science Fiction & Fantasy,Shadowrun Beginner Box Set,0
137,1101965487,Train,40,Literature & Fiction,"George R. R. Martin's A Game of Thrones Leather-Cloth Boxed Set (Song of Ice and Fire Series): A Game of Thrones, A Clash of Kings, A Storm of Swords, A Feast for Crows, and A Dance with Dragons",1
230,842342532,Train,41,Religion & Spirituality,Left Behind Collection: Boxed Set Volumes 6-10,1
109,1428288155,Train,42,Literature & Fiction,"The Wadsworth Anthology of Drama, Brief 6th Edition",0
57,B00KFLIOV6,Train,43,Science Fiction & Fantasy,Contamination Boxed Set: Books 0-3,0
231,1580231098,Train,44,Religion & Spirituality,Criminal Kabbalah: An Intriguing Anthology of Jewish Mystery & Detective Fiction,0
49,1495936961,Train,45,"Mystery, Thriller & Suspense",The Anonymous Girl (Special Edition): Bundled with That Girl Started Her Own Country,0
181,1118821076,Train,46,Computers & Technology,Windows 8.1 For Dummies Book + DVD Bundle,1
46,1250059682,Train,47,"Mystery, Thriller & Suspense","Louise Penny Boxed Set (1-3): Still Life,  A Fatal Grace, The Cruelest Month (Chief Inspector Gamache Novel)",0
